"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","Other"
2024-04,51.19,45.1,1.97,1.49,0,0.23,0.02
2024-05,52.67,42.94,3.34,0.89,0,0.15,0.02
2024-06,43.29,37.23,18.43,0.92,0,0.13,0.01
2024-07,54.91,39.3,3.81,1.81,0,0.16,0.01
2024-08,47.79,45.11,4.85,2.05,0,0.2,0
2024-09,52.67,41.95,3.47,1.21,0,0.7,0
2024-10,56.32,39.59,2.84,1.02,0,0.23,0
2024-11,53.76,42.24,2.76,0.87,0,0.36,0
2024-12,51.11,42.26,4.54,1.67,0,0.43,0
2025-01,50.86,42.91,4.37,1.61,0,0.25,0.01
2025-02,47.71,45.31,3.07,3.7,0,0.21,0.01
2025-03,46.09,47.4,2.22,1.52,2.62,0.16,0
2025-04,51.45,38.33,2.17,1.97,5.94,0.14,0
