"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","Other"
2024-04,95.3,3.21,0.72,0.73,0,0.04,0
2024-05,95.84,2.92,0.68,0.54,0,0.02,0
2024-06,95.85,2.66,0.71,0.74,0,0.04,0
2024-07,94.75,3.44,0.83,0.94,0,0.03,0
2024-08,94.81,3.07,1.11,0.99,0,0.02,0
2024-09,94.97,3.57,0.77,0.65,0,0.04,0
2024-10,92.6,5.3,1.19,0.86,0,0.05,0
2024-11,92.5,5.51,1.12,0.82,0,0.04,0.01
2024-12,92.86,4.28,1.31,1.51,0,0.03,0.01
2025-01,91.47,4.09,3.22,1.19,0,0.02,0
2025-02,91.46,4.64,2.76,1.1,0,0.03,0
2025-03,92.76,3.35,2.06,0.94,0.84,0.05,0
2025-04,90.7,2.52,3.49,0.96,2.28,0.05,0
