"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,81.84,13.21,2.78,1.86,0.31,0,0
2024-05,79.71,14.97,3.11,1.88,0.33,0,0
2024-06,79.92,14.08,3.06,2.22,0.71,0,0
2024-07,78.73,14.77,3.32,2.79,0.37,0,0.01
2024-08,78.97,14.68,3.36,2.65,0.32,0,0.01
2024-09,80.66,14.9,2.67,1.43,0.33,0,0.01
2024-10,82.31,13.38,2.29,1.2,0.82,0,0.01
2024-11,80.35,14.29,2.94,1.46,0.95,0,0
2024-12,80.02,14.06,2.86,2.03,1.03,0,0
2025-01,79.29,15.06,2.76,2.43,0.45,0,0
2025-02,77.95,15.77,3.04,2.79,0.46,0,0
2025-03,79.85,12.66,3.33,2.23,0.43,1.51,0
2025-04,77.06,11.68,3.68,2.93,0.52,4.13,0.01
