"Date","Windows","Unknown","Linux","OS X","macOS","Chrome OS","FreeBSD","Other"
2024-04,78.53,7.67,7.61,6.05,0,0.1,0.04,0
2024-05,78.26,9.8,5.87,4.82,0,1.18,0.07,0
2024-06,69.79,11.29,12.48,5.14,0,1.28,0.01,0
2024-07,77.56,10.27,6.11,5.89,0,0.16,0.01,0
2024-08,80.9,7.85,5.15,6.05,0,0.03,0.02,0
2024-09,83.99,3.9,5.46,6.59,0,0.03,0.02,0
2024-10,82.62,4.85,4.35,8.11,0,0.02,0.05,0
2024-11,81.95,6.49,4.39,7.12,0,0.02,0.02,0
2024-12,81.58,6.69,5.12,6.5,0,0.05,0.06,0
2025-01,79.31,8.4,5.92,6.29,0,0.05,0.03,0
2025-02,79.8,9.42,4.76,5.98,0,0.02,0.02,0
2025-03,75.36,10.37,6.06,6.51,1.65,0.03,0.01,0
2025-04,74.77,11.41,5.47,4.4,3.89,0.03,0.03,0
