"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,86.01,5.44,4.02,4.08,0.44,0,0.01
2024-05,86.51,5.07,4.16,3.78,0.47,0,0.01
2024-06,84.91,5.14,4.64,4.63,0.66,0,0.01
2024-07,83.61,5.47,4.73,5.36,0.82,0,0
2024-08,83.11,5.66,5.36,4.92,0.96,0,0
2024-09,85.7,5.68,4.67,3.22,0.73,0,0.01
2024-10,84.11,8.31,3.75,3.23,0.59,0,0.01
2024-11,82.88,7.85,5.25,3.49,0.53,0,0.01
2024-12,84.5,5.88,5.09,4.06,0.46,0,0.01
2025-01,83.21,6,5.17,5.15,0.46,0,0
2025-02,83.39,5.29,5.69,5.2,0.43,0,0
2025-03,83.13,5.02,4.93,5.4,0.49,1.03,0
2025-04,82.79,3.49,5.09,5.86,0.58,2.18,0
