"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,74.04,21.64,2.11,1.21,0.99,0,0
2024-05,74.13,20.72,3.04,0.97,1.14,0,0
2024-06,74.36,21.1,2.08,1.31,1.16,0,0
2024-07,71.93,22.62,3.22,1.68,0.55,0,0
2024-08,71.49,22.94,3.38,1.55,0.64,0,0.01
2024-09,72.47,22.44,2.94,0.89,1.24,0,0
2024-10,72.63,22.27,2.77,0.94,1.39,0,0
2024-11,67.46,26.89,3.31,1.03,1.31,0,0
2024-12,61.91,32.31,3.19,1.32,1.27,0,0
2025-01,70.89,22.89,2.97,1.71,1.54,0,0
2025-02,72.27,21.98,2.15,2.14,1.46,0,0
2025-03,69.84,20.83,3.12,2.75,1.35,2.1,0
2025-04,69.52,18.17,2.79,3.28,1.19,5.05,0
