"Date","Windows","OS X","Unknown","Linux","macOS","Chrome OS","Other"
2024-04,80.57,11.84,4.72,2.84,0,0.03,0
2024-05,81.19,11.33,4.77,2.69,0,0.02,0
2024-06,80.67,11,5.4,2.91,0,0.02,0.01
2024-07,77.72,12.04,6.79,3.42,0,0.03,0.01
2024-08,79.17,12.14,6.01,2.62,0,0.03,0.03
2024-09,80.81,12.49,4.06,2.6,0,0.03,0.01
2024-10,79.35,14.84,3.1,2.69,0,0.03,0
2024-11,81.17,12.81,3.43,2.57,0,0.03,0
2024-12,81.94,11.83,3.76,2.45,0,0.02,0
2025-01,81.4,12.38,4.04,2.18,0,0.01,0
2025-02,80.88,12.24,4.24,2.62,0,0.02,0
2025-03,79.87,12.35,3.81,2.69,1.25,0.03,0
2025-04,79.46,10.7,4.4,2.75,2.69,0.02,0
