"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,79.83,16.07,1.33,1.9,0.87,0,0
2024-05,80.98,15.82,1.33,1.26,0.6,0,0
2024-06,77.83,16.48,1.86,3.26,0.58,0,0
2024-07,78.84,15.85,2.05,2.71,0.54,0,0
2024-08,79,16.5,1.86,2.08,0.57,0,0
2024-09,74.5,20.98,2.53,1.31,0.67,0,0
2024-10,74.69,21.29,2.45,1.07,0.5,0,0
2024-11,73.53,21.95,3.02,0.94,0.56,0,0
2024-12,72.92,22.4,2.64,1.23,0.81,0,0
2025-01,70.99,23.74,3.15,1.52,0.59,0,0
2025-02,68.87,26.04,2.85,1.97,0.26,0,0
2025-03,67.61,24.01,3.19,1.87,0.23,3.09,0
2025-04,68.06,19.22,3.51,2.35,0.24,6.63,0
