"Date","Windows","OS X","Unknown","Linux","macOS","Chrome OS","Other"
2024-04,86.85,7.33,2.76,2.8,0,0.25,0
2024-05,86.34,7.62,3.12,2.7,0,0.22,0
2024-06,85.81,7.42,4,2.58,0,0.19,0
2024-07,84.78,7.36,5.1,2.59,0,0.16,0
2024-08,84.36,8.01,4.56,2.84,0,0.23,0
2024-09,86.31,7.89,2.93,2.59,0,0.27,0
2024-10,85.77,8.75,2.31,2.92,0,0.24,0
2024-11,85.69,8.63,2.41,2.99,0,0.28,0
2024-12,84.69,8.67,3.1,3.27,0,0.27,0
2025-01,84.79,8.85,3.39,2.73,0,0.24,0
2025-02,84.85,8.16,3.89,2.88,0,0.22,0
2025-03,84.49,7.73,3.34,2.85,1.34,0.25,0
2025-04,83.5,6.01,4.42,3.02,2.77,0.27,0
