"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","Other"
2024-04,79.12,12.28,3.53,2.29,0,2.75,0.02
2024-05,81.43,11.2,3.4,1.88,0,2.07,0.02
2024-06,78.54,12.43,4.32,3,0,1.71,0.01
2024-07,76.35,13.47,4.82,3.78,0,1.58,0.01
2024-08,75.22,14.83,5.2,3.43,0,1.32,0.01
2024-09,77.84,14.91,4.17,1.9,0,1.18,0.01
2024-10,79.76,14.16,3.58,1.72,0,0.77,0.01
2024-11,78.45,13.76,4.17,2.21,0,1.41,0.01
2024-12,77.38,13.92,3.86,3.27,0,1.56,0
2025-01,74.82,16.76,3.89,3.18,0,1.34,0
2025-02,70.72,21.19,4.59,2.89,0,0.6,0
2025-03,68.02,20.69,4.61,2.19,3.37,1.11,0
2025-04,66.88,7.77,4.78,2.33,17.27,0.96,0
