"Date","Windows","OS X","Chrome OS","Linux","macOS","Unknown","Other"
2024-04,75,18.41,4.95,0.94,0,0.71,0
2024-05,75.64,17.99,4.07,1.62,0,0.68,0
2024-06,78.16,15.44,3.8,1.8,0,0.79,0
2024-07,78.73,15.03,3.11,1.98,0,1.16,0
2024-08,75.32,18.25,4.04,1.52,0,0.87,0
2024-09,71.04,23.35,4.09,1.11,0,0.42,0
2024-10,68.04,27.17,3.39,1.02,0,0.39,0
2024-11,70.63,23.67,3.77,1.35,0,0.56,0
2024-12,73.17,21.47,3.28,1.37,0,0.71,0
2025-01,71.56,22.4,3.78,1.32,0,0.95,0
2025-02,69.87,24.35,2.55,1.75,0,1.48,0
2025-03,68.25,20.55,3.08,1.72,5.02,1.39,0
2025-04,69.87,13.12,2.73,1.69,10.51,2.08,0
