"Date","Windows","OS X","Unknown","Linux","Chrome OS","macOS","Other"
2024-04,76.27,12.91,5.32,3.47,2.03,0,0
2024-05,77.33,12.72,4.67,3.14,2.14,0,0
2024-06,76.66,12.72,5.52,3.33,1.76,0,0
2024-07,75.23,13.21,7.33,3.47,0.76,0,0
2024-08,74.56,13.36,7.04,3.55,1.49,0,0
2024-09,77.83,13.36,3.43,3.16,2.23,0,0
2024-10,77.8,12.85,3.12,3.15,3.09,0,0
2024-11,75.7,12.17,3.41,3.04,5.68,0,0
2024-12,74.7,11.83,4.36,4.49,4.62,0,0
2025-01,74.76,12.76,5.4,3.05,4.02,0,0
2025-02,74.37,13.09,6.56,3.24,2.73,0,0
2025-03,74.88,11.8,5.28,3.34,2.67,2.03,0
2025-04,72.71,8.95,7.24,3.73,2.52,4.85,0
