"Date","Windows","OS X","Linux","Chrome OS","Unknown","macOS","Other"
2024-04,76.33,15.64,4.04,3.04,0.95,0,0
2024-05,77.15,15.29,3.84,2.79,0.93,0,0
2024-06,74.08,18.23,4.28,2.53,0.87,0,0
2024-07,74.14,17.79,4.41,2.56,1.11,0,0
2024-08,72.34,17.82,4.8,3.91,1.14,0,0
2024-09,71.24,19.03,4.93,4,0.81,0,0
2024-10,73.65,18.82,4.66,1.96,0.9,0,0
2024-11,75.25,12.49,8.45,2.68,1.13,0,0
2024-12,81.97,9.83,4.2,2.8,1.2,0,0
2025-01,77.91,12.05,5.41,2.88,1.75,0,0
2025-02,75.31,14.16,6.41,1.93,2.19,0,0
2025-03,75.17,6.58,12.57,2.86,1.7,1.12,0
2025-04,70.58,4.58,18.05,2.32,1.93,2.55,0
