"Date","Windows","OS X","Unknown","Linux","Chrome OS","macOS","Other"
2024-04,71.2,20.87,2.54,2.62,2.77,0,0.01
2024-05,77.89,14.56,2.69,2.32,2.53,0,0.01
2024-06,77.47,14.64,3.54,2.39,1.97,0,0
2024-07,75.52,15.03,5.03,3.19,1.22,0,0.01
2024-08,75.39,15.13,4.59,3.11,1.77,0,0.01
2024-09,76.16,16.16,2.87,2.83,1.97,0,0.01
2024-10,76.1,16.63,2.98,3.22,1.06,0,0.01
2024-11,75.63,16.49,3.38,3.13,1.35,0,0.01
2024-12,74.77,16.79,4.36,3.19,0.89,0,0
2025-01,74.82,16.45,4.73,3.25,0.75,0,0
2025-02,74.72,16.07,5.03,3.53,0.65,0,0
2025-03,74.06,13.97,4.84,3.75,0.7,2.68,0
2025-04,73.4,10.31,6.01,4.19,0.66,5.43,0
