"Date","Windows","OS X","Chrome OS","Unknown","Linux","macOS","Other"
2024-04,68.91,22.16,5.59,1.75,1.57,0,0.01
2024-05,69.22,23.53,3.72,1.7,1.83,0,0.01
2024-06,68.55,24.06,3.35,2.16,1.87,0,0
2024-07,68.59,23.76,3.08,2.53,2.03,0,0
2024-08,66.93,25.36,2.76,2.61,2.33,0,0
2024-09,68.77,23.99,3.68,1.61,1.95,0,0
2024-10,69.28,24.39,2.65,1.83,1.85,0,0
2024-11,67.64,25.15,3.03,2.16,2.02,0,0
2024-12,66.28,25.77,3.17,2.69,2.1,0,0
2025-01,67.13,25.33,2.76,2.99,1.79,0,0
2025-02,66.36,26.24,2.09,3.49,1.82,0,0
2025-03,66.99,22.89,2.09,3.22,1.87,2.94,0
2025-04,65.51,19.51,2.07,3.78,1.93,7.18,0
