"Date","Windows","Linux","OS X","Unknown","FreeBSD","Chrome OS","macOS","Other"
2024-04,77.64,12.01,4.68,5.28,0.22,0.16,0,0
2024-05,78.66,11.47,4.76,4.58,0.34,0.19,0,0
2024-06,81.53,8.72,4.89,4.24,0.41,0.21,0,0
2024-07,81.1,7.62,5.01,5.66,0.42,0.19,0,0
2024-08,81.02,7.61,5.95,4.64,0.43,0.35,0,0
2024-09,82.4,6.95,6.04,3.76,0.37,0.47,0,0
2024-10,82.36,7.55,5.92,3.46,0.37,0.34,0,0
2024-11,84.16,6.2,5.54,3.45,0.36,0.3,0,0
2024-12,84.73,5.56,5.42,3.43,0.4,0.46,0,0
2025-01,84.21,5.63,5.66,3.63,0.36,0.51,0,0
2025-02,83.88,6.4,5.24,3.65,0.36,0.46,0,0
2025-03,83.73,6.33,4.84,3.64,0.35,0.46,0.66,0
2025-04,83.34,5.97,4.21,4.21,0.36,0.41,1.51,0
