"Date","Windows","OS X","Unknown","Linux","macOS","Chrome OS","Other"
2024-04,83.26,8.14,3.43,4.87,0,0.29,0
2024-05,84.61,8.73,3.29,3.07,0,0.29,0
2024-06,83.03,8.64,4.29,3.71,0,0.32,0.01
2024-07,79.8,10.69,5.55,3.62,0,0.33,0
2024-08,77.82,11.99,5.77,3.92,0,0.49,0
2024-09,81.64,11.54,2.81,3.51,0,0.5,0
2024-10,84,10.22,2.76,2.75,0,0.27,0
2024-11,84.78,8.98,3.08,2.92,0,0.23,0.01
2024-12,83.78,9.04,3.73,3.16,0,0.29,0
2025-01,83.91,8.81,3.93,3.05,0,0.28,0.03
2025-02,81.75,10.41,4.51,2.99,0,0.33,0.01
2025-03,81.96,8.2,4.35,3.02,2.21,0.24,0.01
2025-04,80.93,4.39,4.99,3.26,6.18,0.25,0
