"Date","Windows","Unknown","OS X","Linux","Chrome OS","macOS","Other"
2024-04,79.53,10.75,6.35,3.26,0.11,0,0.01
2024-05,82.09,8.2,6.25,3.34,0.1,0,0.01
2024-06,80.63,9.78,6.26,3.24,0.08,0,0.01
2024-07,77.75,13.58,5.27,3.3,0.1,0,0
2024-08,78.07,12.67,5.61,3.53,0.12,0,0.01
2024-09,81.1,9.02,6.22,3.38,0.27,0,0
2024-10,83.37,7.48,5.57,3,0.58,0,0
2024-11,85.08,6.07,4.94,2.8,1.11,0,0
2024-12,82.7,7.75,5.26,3.1,1.2,0,0
2025-01,79.5,10.28,6.41,3.41,0.39,0,0
2025-02,79.19,11.23,6,3.4,0.18,0,0
2025-03,81.43,8.5,5.42,3.58,0.14,0.93,0
2025-04,79.41,10.32,4.17,3.73,0.14,2.23,0
