"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,72.39,19.6,3.53,2.38,2.1,0,0
2024-05,72.64,19.44,3.46,2.19,2.27,0,0
2024-06,73.47,18.31,3.2,2.78,2.24,0,0
2024-07,73.15,18.91,3.36,3.07,1.51,0,0
2024-08,69.96,20.61,4.97,2.87,1.6,0,0
2024-09,71.59,20.16,3.39,1.61,3.26,0,0
2024-10,71.39,20.62,3.28,1.67,3.03,0,0
2024-11,76.61,16.72,3.1,1.75,1.82,0,0
2024-12,80.61,12.78,2.9,2.16,1.54,0,0
2025-01,75.55,16.41,3.07,3.14,1.84,0,0
2025-02,73.21,18.78,2.2,3.68,2.13,0,0
2025-03,77.32,14.37,1.67,3.31,1.81,1.53,0
2025-04,79.44,10.02,2.54,3.6,1.23,3.17,0
