"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,79.14,14.41,3.5,2.57,0.39,0,0
2024-05,78.19,16.12,2.75,2.47,0.46,0,0
2024-06,77.5,15.54,3.46,3.08,0.41,0,0
2024-07,76.36,15.64,3.8,3.82,0.38,0,0
2024-08,75.65,15.75,4.03,3.99,0.57,0,0
2024-09,77.72,16.21,3.38,2.1,0.59,0,0
2024-10,79.75,15.23,2.42,1.84,0.76,0,0
2024-11,78.03,15.77,2.63,1.95,1.62,0,0
2024-12,75.11,16.99,3.07,2.71,2.13,0,0.01
2025-01,74.28,18.19,3.09,3.41,1.02,0,0
2025-02,73.96,18.15,3.12,3.95,0.82,0,0
2025-03,74.4,15.21,3.09,3.64,0.78,2.86,0
2025-04,72.82,11.77,3.03,4.62,0.75,7,0
