"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","FreeBSD","Other"
2024-04,68.04,28.54,2.58,0.57,0,0.23,0.02,0.01
2024-05,75.01,18.34,5.37,0.87,0,0.35,0.03,0.03
2024-06,72.48,22.76,2.97,1.02,0,0.68,0.06,0.03
2024-07,71.24,23.59,3.76,0.88,0,0.49,0.02,0.02
2024-08,70.87,23.13,5.47,0.48,0,0.04,0,0
2024-09,81.15,14.91,3.46,0.43,0,0.05,0,0
2024-10,84.84,10.57,4.11,0.46,0,0.02,0,0
2024-11,84.88,11.32,3.12,0.55,0,0.11,0.01,0.01
2024-12,79.72,10.89,7.77,1.5,0,0.11,0.01,0.01
2025-01,82.18,13.03,3.23,1.31,0,0.25,0,0
2025-02,84.83,9.95,4.42,0.74,0,0.06,0,0.01
2025-03,88.3,8.47,1.57,0.96,0.69,0.02,0,0
2025-04,86.42,6.01,0.87,2.99,3.71,0.01,0,0
