"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,86.11,8.98,2.41,2.34,0.16,0,0
2024-05,86.19,8.95,3.06,1.63,0.16,0,0
2024-06,88.78,7.06,2.64,1.23,0.29,0,0
2024-07,91.9,5.3,1.36,0.65,0.79,0,0
2024-08,91.86,5.02,1.67,0.75,0.7,0,0
2024-09,92.83,5.14,1.21,0.33,0.48,0,0
2024-10,93.05,4.69,1.35,0.37,0.54,0,0
2024-11,91.91,5.24,1.65,0.45,0.75,0,0
2024-12,90.66,5.51,2.29,0.73,0.81,0,0
2025-01,90.12,6.4,1.91,0.99,0.58,0,0
2025-02,83.48,10.54,3.59,2.16,0.23,0,0
2025-03,81.27,9.46,4.14,2.59,0.13,2.41,0
2025-04,80.93,6.2,4.47,3.07,0.22,5.11,0
