"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","Other"
2024-04,63.89,25.83,5.24,4.51,0,0.53,0
2024-05,66.77,24.82,4.36,3.66,0,0.38,0.01
2024-06,66.87,25.36,3.93,3.51,0,0.33,0.01
2024-07,68.47,22.69,5.15,3.25,0,0.44,0
2024-08,68.1,22.3,5.1,4.09,0,0.41,0
2024-09,68.37,24.43,4.33,2.33,0,0.53,0
2024-10,67.3,26.61,3.98,1.54,0,0.57,0
2024-11,65.5,27.47,4.23,2.18,0,0.61,0
2024-12,65.33,27.19,4.08,2.91,0,0.48,0
2025-01,65.05,27.12,4.68,2.37,0,0.78,0
2025-02,66.06,25.31,5.14,3.1,0,0.4,0
2025-03,62.49,25.18,5.83,3.45,2.59,0.47,0
2025-04,63.98,20.05,5.77,3.68,6.1,0.42,0
