"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,87.01,8.09,2.29,1.81,0.8,0,0
2024-05,89.07,6.74,2.27,1.31,0.61,0,0
2024-06,89.37,6.64,2.03,1.57,0.39,0,0
2024-07,88.24,7.65,1.85,1.47,0.79,0,0
2024-08,86.96,8.01,3,1.3,0.72,0,0
2024-09,89.46,7.17,1.9,0.74,0.73,0,0
2024-10,88.88,7.61,1.84,1.03,0.64,0,0
2024-11,85.14,10.16,2.58,1.41,0.71,0,0
2024-12,88.62,6.9,2.5,1.2,0.78,0,0
2025-01,86.06,7.95,3.12,2.04,0.82,0,0
2025-02,81.15,10.08,4.57,3.45,0.75,0,0
2025-03,80.14,8.82,5.12,3.53,0.31,2.07,0
2025-04,79.8,6.36,5.04,3.79,0.37,4.64,0
