"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","FreeBSD","Other"
2024-04,68.94,25.49,3.56,1.37,0,0.57,0.05,0.03
2024-05,61.55,32.6,4.58,0.87,0,0.36,0.02,0.02
2024-06,61.8,34.7,1.99,1.12,0,0.31,0.05,0.03
2024-07,60.61,33.04,4.21,1.58,0,0.52,0.01,0.03
2024-08,62.83,32.27,3.97,0.79,0,0.14,0,0
2024-09,65.43,29.71,3.41,0.97,0,0.48,0,0
2024-10,69.97,26.99,2.07,0.86,0,0.1,0,0.01
2024-11,66.88,26.62,5.68,0.72,0,0.09,0,0.01
2024-12,65.76,27.8,4.56,1.59,0,0.3,0,0
2025-01,62.82,26.87,5.17,4.99,0,0.15,0,0
2025-02,62.84,25.18,9.27,2.52,0,0.16,0.02,0
2025-03,74.69,18.92,1.71,2.03,2.62,0.03,0,0
2025-04,65.77,19.33,2.01,4.65,8.17,0.06,0,0
