"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","Other"
2024-04,85.1,7.2,3.68,3.68,0,0.34,0.01
2024-05,85.24,7.23,4.67,2.75,0,0.11,0.01
2024-06,82.2,9.53,4.31,3.76,0,0.19,0
2024-07,82.59,8.23,4.72,4.31,0,0.15,0
2024-08,82.24,8.86,4.64,4.15,0,0.11,0
2024-09,85.03,7.42,4.27,3.12,0,0.15,0
2024-10,84.09,8.58,3.9,3.3,0,0.13,0
2024-11,87.3,6.82,2.89,2.89,0,0.1,0
2024-12,84.1,8.34,4.13,3.26,0,0.17,0
2025-01,82.98,9.12,3.81,3.97,0,0.12,0
2025-02,84.13,7.93,4,3.84,0,0.1,0
2025-03,83.43,6.9,3.96,3.65,2.01,0.05,0
2025-04,83.13,5.04,2.8,3.97,5.01,0.04,0
