"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,82.96,6.66,5.27,4.76,0.35,0,0.01
2024-05,81.91,7.38,5.88,4.21,0.61,0,0.01
2024-06,79.22,7.93,6.18,6.23,0.43,0,0.01
2024-07,75.58,9.36,6.31,8.14,0.6,0,0
2024-08,77.96,8.93,5.47,7.07,0.57,0,0
2024-09,81.26,8.72,6.21,2.82,0.98,0,0
2024-10,82.44,8.7,4.75,3.46,0.64,0,0
2024-11,81.11,8.28,6.71,3.48,0.42,0,0
2024-12,81.37,7.13,6.72,4.37,0.41,0,0
2025-01,79.04,7.29,7.73,5.38,0.56,0,0.01
2025-02,79.65,7.63,6.67,5.54,0.51,0,0
2025-03,79.89,5.89,7.01,5.54,0.44,1.23,0
2025-04,77.32,4.82,6.43,7.74,0.52,3.18,0
