"Date","Windows","Unknown","OS X","Linux","Chrome OS","macOS","Other"
2024-04,87.08,4.83,4.28,3.59,0.22,0,0
2024-05,87.32,4.91,4.62,2.96,0.18,0,0
2024-06,86.14,6.55,4.54,2.56,0.21,0,0
2024-07,86.27,7.36,3.94,2.24,0.18,0,0
2024-08,85.74,6.92,4.43,2.43,0.48,0,0
2024-09,88.31,3.9,4.78,2.45,0.56,0,0
2024-10,88.03,3.51,5.43,2.79,0.24,0,0
2024-11,86.96,4.34,4.95,3.6,0.14,0,0.01
2024-12,87.09,4.42,4.65,3.66,0.17,0,0
2025-01,87.11,4.62,4.59,3.41,0.26,0,0
2025-02,88.17,5.1,3.76,2.76,0.2,0,0
2025-03,86.78,5.94,3.62,2.62,0.19,0.86,0
2025-04,84.44,6.38,3.54,2.9,0.69,2.04,0
