"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","Other"
2024-04,78.17,15,4.61,1.92,0,0.28,0.01
2024-05,78.25,14.91,4.41,2.05,0,0.37,0
2024-06,78.48,14.36,4.07,2.86,0,0.22,0.02
2024-07,76.72,16.38,4.04,2.61,0,0.25,0
2024-08,77.81,15.34,3.55,2.88,0,0.42,0
2024-09,79.07,16.71,2.6,0.81,0,0.8,0
2024-10,77.97,17.78,2.88,0.93,0,0.43,0
2024-11,76.81,18.99,2.52,1.21,0,0.46,0.01
2024-12,76.39,17.21,3.72,1.92,0,0.76,0
2025-01,80.29,14.26,2.82,2.09,0,0.53,0.01
2025-02,77.98,15.45,3.01,3.12,0,0.44,0
2025-03,79.85,12.28,2.26,2.35,2.59,0.68,0
2025-04,78.99,7.53,3.17,2.84,6.81,0.66,0
