"Date","Windows","OS X","Linux","Unknown","Chrome OS","macOS","Other"
2024-04,76.46,16.83,2.09,2.62,1.99,0,0.01
2024-05,75.67,17.95,2.39,2.08,1.91,0,0
2024-06,74.4,17.88,2.95,2.65,2.12,0,0.01
2024-07,74.55,17.27,3.39,3.47,1.31,0,0
2024-08,73.87,18.53,3.08,3.21,1.31,0,0
2024-09,74.3,19.24,2.47,1.71,2.29,0,0
2024-10,74.33,19.37,2.15,1.83,2.32,0,0
2024-11,75.38,18.19,1.98,1.64,2.81,0,0
2024-12,75.43,19.55,1.66,1.58,1.78,0,0
2025-01,74.79,18.26,2.59,2.44,1.92,0,0
2025-02,73.9,18.2,2.72,3.11,2.08,0,0
2025-03,73.87,15.39,2.7,3.15,2.39,2.5,0
2025-04,73.97,11.51,3.1,3.85,2.06,5.51,0
