"Date","Windows","OS X","Linux","Chrome OS","Unknown","macOS","Other"
2024-04,59.77,19.99,16.53,2.85,0.85,0,0
2024-05,58.58,20.1,18.09,2.54,0.69,0,0
2024-06,61.8,15.74,18.16,3.57,0.73,0,0
2024-07,51.87,16.79,29.04,1.11,1.19,0,0
2024-08,54.5,18.96,23.38,2.12,1.04,0,0
2024-09,56.7,22.52,17.03,3.22,0.53,0,0
2024-10,57.19,21.77,17.95,2.58,0.51,0,0
2024-11,57.27,21.46,18.09,2.46,0.72,0,0
2024-12,55.73,21.5,19.94,1.71,1.12,0,0
2025-01,57.65,19.6,18.96,2.67,1.12,0,0
2025-02,58.78,19.07,18.2,2.48,1.47,0,0
2025-03,58.79,17.55,16.78,2.98,1.31,2.59,0
2025-04,60.54,11.32,18.67,1.91,2.27,5.29,0
