"Date","Windows","OS X","Unknown","Linux","macOS","Chrome OS","Other"
2024-04,81.54,9.69,6.49,2.11,0,0.17,0
2024-05,79.74,12.19,5.8,2.11,0,0.16,0
2024-06,75.87,14.13,7.48,2.35,0,0.17,0
2024-07,77.83,10.68,8.99,2.32,0,0.18,0
2024-08,74.33,14.83,8.31,2.32,0,0.21,0
2024-09,85.06,9.14,3.31,2.26,0,0.23,0
2024-10,84.34,10.58,2.83,2.08,0,0.17,0
2024-11,85.32,7.87,3.74,2.86,0,0.21,0
2024-12,85.77,6.1,4.93,3.01,0,0.2,0
2025-01,84.08,8.1,5.01,2.6,0,0.21,0
2025-02,83.63,7.51,6.02,2.61,0,0.23,0
2025-03,86.2,4.37,5.37,2.87,1.03,0.16,0
2025-04,87.98,3.39,2.72,2.68,3.05,0.18,0
