"Date","Windows","OS X","Unknown","Linux","Chrome OS","macOS","Other"
2024-04,84.97,10.48,2.01,1.98,0.55,0,0
2024-05,86.52,9.8,1.66,1.46,0.56,0,0
2024-06,85.36,10.22,2.27,1.62,0.52,0,0
2024-07,81.49,11.9,3.37,2.63,0.6,0,0.01
2024-08,82.17,11.53,3.18,2.25,0.86,0,0
2024-09,85.16,10.93,1.56,1.68,0.67,0,0.01
2024-10,83.93,11.66,1.13,1.75,1.53,0,0
2024-11,82.49,12.86,1.23,1.32,2.11,0,0
2024-12,86.46,8.65,1.44,1.37,2.08,0,0
2025-01,84.18,10.73,2,1.55,1.53,0,0
2025-02,84.65,10.51,2.38,1.72,0.74,0,0
2025-03,83.7,9.27,2.28,1.9,0.77,2.09,0
2025-04,82.9,6.75,2.7,2.25,0.74,4.66,0
