"Date","Windows","OS X","Unknown","Linux","macOS","Chrome OS","Other"
2024-04,92.99,3.13,1.97,1.8,0,0.1,0
2024-05,92.58,3.43,1.93,1.98,0,0.08,0
2024-06,91.25,3.64,2.41,2.6,0,0.1,0
2024-07,89.59,4.05,3.18,3.06,0,0.11,0
2024-08,90.11,3.95,2.88,2.96,0,0.1,0
2024-09,91.82,4.01,1.64,2.37,0,0.16,0
2024-10,91.42,4.54,1.82,2.1,0,0.11,0
2024-11,90.73,4.84,2.26,2.03,0,0.13,0
2024-12,90.48,4.54,2.66,2.19,0,0.14,0
2025-01,89.13,5.12,3.47,2.14,0,0.13,0
2025-02,89.71,4.28,3.87,2.07,0,0.07,0
2025-03,90.6,3.31,3.16,1.97,0.88,0.07,0
2025-04,90.42,2.23,3.44,1.95,1.87,0.07,0
