"Date","Windows","OS X","Unknown","Linux","Chrome OS","macOS","Other"
2024-04,87.35,4.48,4.28,3.65,0.23,0,0.01
2024-05,86.81,5.01,4.22,3.71,0.23,0,0.01
2024-06,85.81,4.67,5.42,3.81,0.27,0,0.01
2024-07,84.64,4.39,6.42,4.24,0.3,0,0.01
2024-08,84.1,5.14,6.14,4.3,0.32,0,0.01
2024-09,86.23,5.05,3.53,4.97,0.22,0,0.01
2024-10,86.48,6.15,2.96,4.25,0.15,0,0.01
2024-11,86,5.82,3.44,4.5,0.23,0,0.01
2024-12,85.57,5.68,4.04,4.44,0.26,0,0.01
2025-01,84.97,5.23,5.12,4.37,0.31,0,0
2025-02,84.86,5.01,5.44,4.34,0.35,0,0
2025-03,85.46,3.98,4.99,4.29,0.33,0.95,0
2025-04,83.77,3.27,6,4.56,0.3,2.11,0
