"Date","Windows","OS X","Chrome OS","Linux","Unknown","macOS","Other"
2024-04,69.02,15.73,13.1,1.13,1.03,0,0
2024-05,70,15.23,12.29,1.42,1.06,0,0
2024-06,70.94,15.29,10.57,1.75,1.44,0,0
2024-07,70.19,15.48,11.08,1.61,1.63,0,0
2024-08,68.92,15.97,12.21,1.56,1.34,0,0
2024-09,68.75,15.5,14,1.06,0.68,0,0
2024-10,67.91,17,13.2,1.17,0.72,0,0
2024-11,65.41,15.52,16.97,1.17,0.93,0,0
2024-12,66.47,14.51,16.55,1.24,1.23,0,0
2025-01,66.44,15.61,14.97,1.36,1.61,0,0
2025-02,66.72,17,12.46,1.8,2.03,0,0
2025-03,67.24,12.4,14.44,1.56,1.47,2.88,0
2025-04,66.51,9.1,14.39,1.81,2.08,6.11,0
