"Date","Windows","OS X","Linux","Unknown","macOS","Chrome OS","Other"
2024-04,84.82,7.75,5.28,2.08,0,0.07,0
2024-05,83.9,8.63,5.39,2.01,0,0.06,0
2024-06,85.81,8.54,2.55,2.96,0,0.14,0
2024-07,84.79,8.5,3.21,3.39,0,0.11,0
2024-08,84.3,8.87,3.48,3.19,0,0.16,0
2024-09,86.05,8.9,3.39,1.51,0,0.15,0
2024-10,85.52,8.43,4.39,1.52,0,0.14,0
2024-11,83.42,10.43,4.39,1.58,0,0.18,0
2024-12,84.71,9.98,3.37,1.85,0,0.08,0
2025-01,85.15,9.63,2.87,2.26,0,0.09,0
2025-02,85.22,8.52,3.33,2.87,0,0.06,0
2025-03,85.45,7.58,2.83,2.76,1.33,0.05,0
2025-04,85.26,5.59,3.02,3.2,2.86,0.07,0
