"Date","Windows","OS X","Unknown","Linux","Chrome OS","macOS","Other"
2024-04,89.18,5.89,2.41,2.08,0.43,0,0
2024-05,89.31,5.92,2.05,2.08,0.63,0,0
2024-06,84.09,8.38,3.97,3.43,0.13,0,0
2024-07,82.27,8.25,5.63,3.66,0.17,0,0.01
2024-08,82.63,8.92,4.72,3.56,0.16,0,0
2024-09,85.03,9.04,2.63,3.08,0.21,0,0.01
2024-10,85.88,8.66,2.29,2.73,0.44,0,0.01
2024-11,86.98,7.36,2.58,2.47,0.6,0,0
2024-12,87.84,6.1,2.52,2.54,0.99,0,0
2025-01,85.6,7.33,3.57,3.06,0.42,0,0
2025-02,85.01,7.77,4.03,3.03,0.16,0,0
2025-03,84.31,7.1,4.16,3.04,0.21,1.17,0
2025-04,82.94,5.64,5.14,3.34,0.14,2.78,0.02
