"Date","Windows","Unknown","Linux","OS X","macOS","Chrome OS","Other"
2024-04,79.58,7.12,8.59,4.66,0,0.05,0
2024-05,80.35,5.91,8.62,5.05,0,0.06,0
2024-06,78.75,7.17,8.96,5.05,0,0.06,0
2024-07,78.18,8.16,8.51,5.06,0,0.09,0
2024-08,78.34,8.58,7.93,5.07,0,0.07,0
2024-09,80.19,6.93,7.43,5.39,0,0.07,0
2024-10,80.13,7.61,6.8,5.39,0,0.06,0
2024-11,80.61,7.13,5.99,6.21,0,0.06,0
2024-12,79.6,7.42,5.66,7.25,0,0.08,0
2025-01,78.59,8.65,5.67,7.02,0,0.06,0
2025-02,77.49,9.46,5.87,7.13,0,0.05,0
2025-03,77.6,9.86,6.7,4.74,1.03,0.06,0
2025-04,76.47,11.02,7.03,3.2,2.22,0.06,0
