"Date","Windows","OS X","Unknown","Linux","macOS","Chrome OS","Other"
2024-04,86.99,7.66,2.75,2.47,0,0.12,0.01
2024-05,87.54,7.49,2.53,2.31,0,0.12,0.01
2024-06,86.25,7.64,3.38,2.63,0,0.1,0
2024-07,85.3,7.86,4.09,2.62,0,0.13,0
2024-08,87.19,6.8,3.3,2.6,0,0.12,0
2024-09,87.76,7.56,2.03,2.56,0,0.1,0
2024-10,87.64,8.1,1.68,2.49,0,0.08,0
2024-11,87.91,7.62,1.95,2.44,0,0.08,0
2024-12,87.78,7.83,2.15,2.16,0,0.07,0.01
2025-01,88.42,7.18,2.24,2.07,0,0.09,0
2025-02,87.9,6.98,2.66,2.34,0,0.12,0
2025-03,87.78,5.52,2.34,2.23,2.04,0.09,0
2025-04,86.89,3.34,2.78,2.33,4.54,0.12,0
